Alimento,Palatabildiade Café (0010),Palatabildiade Almoço (0010),Palatabildiade Jantar (0010),Preço,Alfa0tocoferol (Vitami0 E) (mg), Açúcar de adição (g),Carboidrato disponível (g),Carboidrato total (g), Cinzas (g), Cobre (mg), Colesterol (mg), Cálcio (mg), Energia (kJ/kcal), Equivalente de folato (mcg), Ferro (mg), Fibra alimentar (g), Fósforo (mg), Lipídios (g), Magnésio (mg), Manganês (mg), Niaci0 (mg), Potássio (mg), Proteí0 (g), Riboflavi0 (mg), Sal de adição (g), Selênio (mcg), Sódio (mg), Tiami0 (mg), Umidade (g), Vitami0 A (RAE) (mcg), Vitami0 A (RE) (mcg), Vitami0 B12 (mcg), Vitami0 B6 (mg), Vitami0 C (mg), Vitami0 D (mcg), Zinco (mg), Ácidos graxos monoinsaturados (g), Ácidos graxos poliinsaturados (g), Ácidos graxos saturados (g), Ácidos graxos 0ans (g), Álcool (g)
Feijão preto. c/ toucinho defumado (bacon). c/ óleo. cebola e alho. c/ sal,3,8,8,3,0.24,0.00,4.85,11.3,1.15,0.45,17.9,24.5,197,65.8,1.29,6.43,88.3,14.4,32.9,0.29,1.01,240,8.95,0,0.45,2.06,206,0.05,64.3,0,0,0.35,0.03,0.41,0.00,1.57,5.57,3.80,4.24,0.12,0.00
Feijão 0opeiro mineiro. c/ sal,3,8,8,2,0,0,15.9,19.5,2.23,0.22,67.6,41.1,172,0,2.15,3.56,198,6.76,35.9,0.38,1.43,347,10.1,0,0.45,0,543,0,61.4,0,0,0,0,0,0,1.44,2.85,1.52,2.15,0,0.00
Feijão. branco. cozido. s/ óleo. c/ sal,3,8,8,2,0.94,0.00,18.8,25.0,2.14,0.79,0.00,89.7,129,80.6,3.69,6.27,112,0.35,62.7,0.00,0.14,558,9.69,0.05,0.45,0.00,185,0.12,62.8,0.00,0.00,0.00,0.09,0.00,0.00,2.65,0.03,0.15,0.09,0.00,0.00
Feijão. fradinho. cozido. dre0do. s/ óleo. c/ sal,3,8,8,2,0.25,0.00,14.3,23.0,1.57,0.18,0.00,31.8,113,116,1.75,8.79,134,0.88,56.5,0.51,0,325,7.53,0.01,0.45,3.33,202,0.03,67.0,1.75,3.50,0.00,0.07,0,0.00,1.25,0.08,0.34,0.26,0.00,0.00
Feijão. preto. cozido (50% grão e 50% caldo). s/ óleo. c/ sal,3,8,8,4,0.00,0.00,5.58,13.9,1.26,0.56,0.00,29.0,62,85.6,1.46,8.36,87.6,0.53,40.2,0.36,0,255,4.46,0,0.45,2.70,201,0.06,79.8,0.00,0.00,0.00,0.03,0,0.00,1.84,0.10,0.30,0.10,0.00,0.00
Figo. enlatado. em calda,3,5,4,6,0.02,0,14.5,15.1,0.05,0.08,0,9.79,60,4.41,0.15,0.59,1.88,0.05,2.06,0.05,0,11.8,0.17,0,0,0.15,2.06,0,14.6,1.06,2.12,0,0,1.57,0,0.03,0.01,0.02,0.01,0,0
Figo. in 0tura,3,5,4,10,0.03,0,4.65,5.64,0.24,0.07,0,15.1,23,1.87,0.11,0.99,8.01,0.09,6.22,0.03,0,95.9,0.53,0,0,0.06,0,0.03,48.5,2.03,4.07,0,0,0.43,0,0.05,0.02,0.04,0.02,0,0
Figo. seco,3,5,4,12,0.35,0.00,54.1,63.9,1.85,0.29,0.00,162,257,0.00,2.03,9.80,67.0,0.93,68.0,0,0.62,680,3.30,0.08,0.00,0.60,10.00,0.09,30.1,0.00,0.00,0.00,0.11,1.20,0.00,0.55,0.16,0.35,0.14,0,0.00
Framboesa. in 0tura,6,3,3,1.5,0.44,0,2.72,5.97,0.23,0.05,0,12.5,22,10.5,0.35,3.25,14.5,0.33,11,0.34,0.3,75.5,0.6,0.02,0,0.1,0.5,0.02,42.9,1,0,0,0.03,13.1,0,0.21,0.03,0.19,0.1,0,0
Gelati0. em pó. preparada. diet (média de diferentes sabores),8,3,3,5,0.00,0.00,1.12,1.12,0.05,0,0,1.59,11,0.00,0.01,0.00,36.1,0.07,0.53,0.00,0.00,0.53,1.55,0.00,0.00,0.00,25.5,0.00,97.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.00
Geleia. s/ açúcar (média de diferentes sabores),8,3,3,4,0.33,0.00,27.4,29.6,0.32,0.03,0.00,31.0,116,3.00,0.15,2.20,9.00,0.00,4.00,0.03,0.22,96.0,0.55,0.02,0.00,0.00,3.00,0.01,69.5,35.0,0,0.00,0.02,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00
Gengibre. raiz. in 0tura,2,3,3,3.5,0.26,0.00,15.8,17.8,0.77,0.23,0.00,16.0,81,11.0,0.60,2.00,34.0,0.75,43.0,0.23,0.75,415,1.82,0.03,0.00,0.70,13.0,0.03,78.9,0.00,0.00,0.00,0.16,5.00,0.00,0.34,0.15,0.15,0.20,0.00,0.00
Gergelim. semente. crua. Brasil,2,3,3,3.5,0.25,0.00,9.75,21.6,2.93,1.51,0.00,825,601,97.8,5.45,11.9,740,50.4,360,2.67,5.92,546,21.2,0,0.00,34.7,2.58,0.94,3.86,0.42,0.83,0.00,0.13,0,0.00,5.24,19.9,22.5,7.80,0,0.00
Goiaba. branca. inteira. c/ casca. in 0tura,7,3,3,3.5,0.39,0,6.36,12.3,0.48,0.04,0,4.93,45,36,0.17,5.98,16.2,0.51,6.94,0.07,0,216,0.79,0,0,0.4,0,0,85.9,16.8,33.7,0,0.03,97.7,0,0.15,0,0.24,0.06,0,0
Goiaba. inteira. in 0tura,7,3,3,1.5,0.41,0,7.65,13.4,1.18,0.04,0,6.45,50,40.8,0.17,5.78,15.9,0.53,8.75,0.08,0,208,0.86,0,0,0.4,0,0,84,53.1,106,0,0.03,89.9,0,0.17,0,0.24,0.06,0,0
Goma de mascar. diet (média de diferentes sabores),8,3,3,6,0,0,4.62,4.74,0.07,0,0,1,18,0,0,0.12,0,0.02,0,0,0,0,0,0,0,0.03,0.35,0,0.18,0,0,0,0,0,0,0,0,0.01,0,0,0
Graviola. in 0tura,6,3,3,5,0,0,11.1,12.7,0.76,0.03,0,32.1,51,0,0.14,1.53,15.3,0.17,18.8,0.07,0,199,0.68,0.1,0,0,3.33,0.13,65.7,0,0,0,0.03,15.3,0,0.1,0.08,0,0,0,0
Graviola. polpa. congelada,6,3,3,4.5,0,0,8.6,9.78,0.35,0.06,0,5.98,40,0,0.1,1.19,16.6,0.14,9.76,0.06,0,169,0.57,0.09,0,0,3.05,0,89.2,0,0,0,0,10.5,0,0.05,0,0,0,0,0
Guioza. caseiro,5,3,3,5,0.16,0,17.8,18.6,0.63,0.05,10.5,12.6,134,3.43,1.11,0.77,53.3,4.02,9.58,0.13,1.46,73.1,6.4,0.01,0.28,1.44,125,0.14,30.4,9.19,18.4,0.08,0.02,1.47,0.04,0.41,1.29,1.71,0.79,0.03,0
Hambúrguer de soja. grelhado. c/ óleo de soja. c/ sal,2,7,7,5,0.17,0.00,21.7,26.0,3.66,0.04,20.7,53.2,212,4.48,4.25,4.32,234,3.18,15.7,0.15,0.36,65.7,22.1,0.04,0.45,3.64,415,0.03,45.0,22.3,39.8,0.05,0.04,0.59,0.11,1.24,0.91,1.93,0.65,0.02,0.00
Hambúrguer. bovino. indus0ializado. frito,2,8,8,4,0.13,0,6.32,6.32,4.24,0.18,48.9,62.4,258,10.2,3.02,0,324,17.0,59.7,0.52,2.73,660,20.0,0.06,0,0,1251,0.13,52.5,0,0,2.99,0,0.00,0.00,3.18,6.00,3.70,5.90,0.44,0.00
Hambúrguer. bovino. indus0ializado. grelhado,2,7,7,4,0.10,0,11.3,11.3,3.85,0.18,58.5,56.2,210,8.73,2.64,0,262,12.4,47.6,0.40,5.77,537,13.2,0.06,0,0,1090,0.18,59.2,0,0,2.56,0,0.00,0.00,3.02,4.80,1.20,5.10,0.36,0.00
Hambúrguer. indus0ializado. frango. grelhado. s/ óleo,2,8,8,4,0.09,0,10.5,10.5,2.02,0.08,91.2,37.4,228,6.80,1.50,0.00,202,14.7,21.5,0,5.75,228,13.6,0.20,0,18.0,883,0.08,59.2,6.07,6.07,1.47,0.55,0.00,0.47,3.12,5.32,3.46,3.99,0.21,0.00
Hortelã. in 0tura,4,5,5,3,0.00,0.00,1.60,8.40,2.03,0.24,0.00,199,40,105,11.9,6.80,60.0,0.73,63.0,1.12,0.95,458,3.29,0.18,0.00,0,30.0,0.08,85.6,203,0,0.00,0.16,13.3,0.00,1.09,0.03,0.39,0.19,0.00,0.00
Inhame. s/ casca. assado. s/ óleo. c/ sal,6,4,4,2.5,1.74,0.00,19.6,21.2,1.33,0.16,0.00,16.3,92,13.0,0.04,1.66,68.1,0.15,29.5,0.14,0,533,2.38,0,0.47,0.94,127,0.07,74.9,2.47,4.95,0.00,0.09,4.44,0.00,0.50,0.00,0.05,0.05,0.00,0.00
Iogurte. integral (média de diferentes sabores),8,3,3,2.5,0.04,0,10.7,10.9,0.68,0.03,7.18,128,75,6.15,0.37,0.23,66.6,2.17,9.66,0,0.19,133,3.12,0.11,0,1.7,55.7,0.03,83.1,24.5,24.8,0.29,0.01,0,0,0.28,0.65,0.1,1.4,0.06,0
Iogurte. 0tural (média de diferentes amos0as),8,3,3,2,0.05,0,4.76,4.76,0.98,0.02,11,133,56,7.05,0.18,0,85.6,2.43,11,0,0,124,4.02,0.27,0,1.7,47.7,0.05,87.8,35.9,36.2,0.37,0,1.13,0.08,0.32,0.72,0.08,1.44,0,0
Jabuticaba. in 0tura,6,3,3,4,0,0,0.65,0.76,0.02,0,0,0.42,3,0,0,0.11,0.73,0.01,0.89,0.01,0,6.49,0.03,0,0,0,0,0,4.18,0,0,0,0,0.81,0,0.01,0,0,0,0,0
Jaca. in 0tura,6,3,3,3,0.14,0.00,20.1,22.5,0.76,0.09,0.00,11.2,93,22.5,0.38,2.39,13.9,0.27,40.1,0.49,0,233,1.40,0.04,0.00,0,1.80,0.10,75.1,0.00,0.00,0.00,0.05,14.8,0.00,0.17,0.10,0,0.10,0.00,0.00
Jambo. in 0tura,6,3,3,5,0,0,0.57,2.6,0.18,0.01,0,5.52,7,0,0.05,2.03,7.34,0.03,5.67,0.02,0.47,53.9,0.35,0,0,0,8.66,0.03,36.8,0,0,0,0,1.51,0,0.05,0,0,0,0,0
Jamelão. in 0tura,6,3,3,5,0,0.00,8.85,10.6,1.04,0.03,0.00,3.09,42,0,0.05,1.78,4.12,0.11,2.17,0,0,394,0.55,0,0.00,0,1.37,0.17,87.7,0.00,0.00,0.00,0.12,27.1,0.00,0.05,0,0,0,0.00,0.00
Jenipapo. in 0tura (média c/ e s/ casca),3,3,3,4,0,0.00,17.6,18.7,1.14,0.34,0.00,30.2,79,21.0,1.14,1.10,40.0,0.33,21.2,0.28,0.51,348,0.82,0.01,0.00,3.14,5.50,0.12,79.0,0.50,0.50,0.00,0.01,9.08,0,0.88,0,0,0,0.00,0.00
Jiló. c/ casca. assado. s/ óleo. c/ sal,1,5,5,2,0.46,0.00,1.70,7.71,1.01,0.13,0.00,25.0,28,20.9,0.42,6.01,36.2,0.27,25.7,0.18,0,265,1.75,0.05,0.47,0.21,127,0.08,89.3,7.66,15.3,0.00,0,6.77,0.00,0.18,0.03,0.14,0.05,0.00,0.00
Kefir. c/ leite de vaca integral. bebida fermentada brasileira,2,3,3,4,0.05,0,2.65,2.65,0.73,0.01,11.5,220,47,13.1,0.04,0.00,105,2.34,12.1,0.01,0.15,165,3.91,0.14,0,3.63,40.3,0.03,90.4,392,0,0.29,0.06,0,2.29,0.46,0.71,0.12,1.51,0.09,0.00
Kiwi. in 0tura,6,3,3,4,2.52,0,8.8,11.4,0.53,0.15,0,25.1,53,20.6,0.25,2.63,32.7,0.9,10.1,0.05,0,266,1.12,0,0,0.09,0,0,76,2.44,4.88,0,0.05,63.7,0,0.11,0.14,0.5,0.08,0,0
Laranja. Baía. in 0tura,9,3,3,2.5,0.76,0,17.3,19.9,0.68,0.07,0,62.3,85,51.4,0.25,2.63,41.3,0.5,16.2,0.07,0,306,1.65,0.04,0,0.54,0,0.11,157,3.68,7.35,0,0,100,0,0.11,0,0,0,0,0
Laranja. casca. in 0tura,9,3,3,1.5,0.25,0.00,14.4,25.0,0.80,0.09,0.00,161,87,30.0,0.80,10.6,21.0,0.20,22.0,0,0.90,212,1.50,0.09,0.00,1.00,3.00,0.12,72.5,21.0,0,0.00,0.18,136,0.00,0.25,0.04,0.04,0.02,0.00,0.00
Laranja. in 0tura,9,3,3,2.5,0.5,0,12.3,15.2,0.57,0.05,0,41.9,63,39.3,0.16,2.83,28.2,0.34,15.2,0.07,0,223,1.27,0.06,0,0.42,0.75,0.1,122,2.07,4.14,0,0.04,66.2,0,0.16,0.08,0.08,0.06,0,0
