Alimento,Palatabildiade Café (0010),Palatabildiade Almoço (0010),Palatabildiade Jantar (0010),Preço,Alfa0tocoferol (Vitami0 E) (mg), Açúcar de adição (g),Carboidrato disponível (g),Carboidrato total (g), Cinzas (g), Cobre (mg), Colesterol (mg), Cálcio (mg), Energia (kJ/kcal), Equivalente de folato (mcg), Ferro (mg), Fibra alimentar (g), Fósforo (mg), Lipídios (g), Magnésio (mg), Manganês (mg), Niaci0 (mg), Potássio (mg), Proteí0 (g), Riboflavi0 (mg), Sal de adição (g), Selênio (mcg), Sódio (mg), Tiami0 (mg), Umidade (g), Vitami0 A (RAE) (mcg), Vitami0 A (RE) (mcg), Vitami0 B12 (mcg), Vitami0 B6 (mg), Vitami0 C (mg), Vitami0 D (mcg), Zinco (mg), Ácidos graxos monoinsaturados (g), Ácidos graxos poliinsaturados (g), Ácidos graxos saturados (g), Ácidos graxos 0ans (g), Álcool (g)
Maçã. c/ casca. in 0tura,7,4,3,2.5,0.69,0,17.7,20.3,0.3,0.06,0,9.17,83,4.51,0.09,2.69,27.4,0.64,19.9,0.03,0,543,0.38,0,0,0.13,0.86,0.03,108,4.55,9.1,0,0.02,2.53,0,0,0,0,0.26,0,0
Maçã. Fuji. assada. c/ açúcar e canela,7,4,3,3,0.66,0.00,28.8,32.9,0.46,0.06,0.00,42.9,131,2.50,0.39,4.14,25.4,0.58,19.0,0.64,0.05,429,0.48,0,13.0,0.30,2.66,0.02,65.6,3.80,6.55,0.00,0.02,1.85,0.00,0.06,0.01,0,0.23,0.00,0.00
Maçã. Fuji. c/ casca. in 0tura,7,4,3,2.5,0.23,0,17.9,19.7,0.29,0.08,0,2.5,76,4.23,0.12,1.75,11.8,0,2.65,0.04,0,97.1,0.37,0,0,0,0,0,109,4.55,9.1,0,0.04,3.13,0,0,0,0,0,0,0
Macaúba. in 0tura,7,5,3,6,0,0,0.23,6.28,0.8,0.16,0,29.9,181,0,0.36,6.05,19.7,18.3,29.7,0.03,0,137,0.94,0.05,0,0,0.29,0.05,18.7,229,459,0,0.01,6.05,0,0.3,11.4,2.93,3.2,0,0
Macarrão. c/ molho bolonhesa. c/ sal,2,8,8,4,0,0.00,21.6,21.6,0.71,0.09,6.90,10.6,114,0,1.38,0.77,53.7,0.89,9.94,0.22,1.43,83.2,4.91,0,0.47,0,196,0.04,71.1,0,0,0.18,0.00,0.75,0,0.75,0.26,0.29,0.27,0,0.00
Maionese vega0. c/ sal,4,5,5,5,0.01,0.00,1.62,1.92,0.41,0.08,0.00,3.75,623,4.56,0.37,0.30,35.1,67.9,16.5,0.09,0,48.6,1.33,0,0.25,0.02,99.9,0.01,28.5,0.07,0.13,0.00,0,1.43,0.00,0.32,18.2,41.1,7.51,0.75,0.00
Maionese. light,4,5,5,3.5,2.19,0,9.23,9.23,2.05,0.02,16.0,6.00,238,4.00,0.14,0.00,15.0,22.2,2.00,0,0.01,31.0,0.37,0.00,0,2.60,827,0.01,66.1,8.00,0,0.00,0.00,0.00,0.00,0.07,5.01,13.0,3.45,0,0.00
Maionese. molho. 0adicio0l,5,4,4,3,1.34,0.00,7.90,7.90,2.60,0,42.5,3.48,306,2.08,0.10,0.00,14.5,30.5,0.86,0,0,16.1,0.58,0.05,0,2.30,786,0,58.4,8.27,8.54,0.05,0,0,0.08,0.06,6.40,15.4,4.10,0.17,0.00
Mamão. doce. em calda. dre0do,6,3,3,4,0,0,52.7,54.0,0.21,0.02,0.00,20.0,215,0,0.11,1.31,4.48,0.07,5.81,0.02,0,68.2,0.19,0,0.00,0,2.91,0.03,45.5,0,0,0.00,0,3.90,0.00,0.07,0,0,0,0.00,0.00
Mamão. Formosa. polpa. in 0tura,6,3,3,2.5,0.23,0,16.6,19.6,0.99,2.31,0,42.3,79,68.9,0.4,3.08,18.5,0.2,29.4,0.07,0,377,1.39,0.05,0,0.51,5.54,0.05,147,73,146,0,0,133,0,0.12,0.06,0.05,0.06,0,0
Mamão. Papaia. polpa. in 0tura,6,3,3,2.5,0.72,0,28.5,31.7,1.16,0.07,0,46.5,132,108,0.59,3.2,32.7,0.63,50.2,0.04,3.17,386,1.56,0.13,0,0.93,5,0.11,274,182,365,0,0,252,0,0.22,0.17,0.14,0.2,0,0
Mamão. polpa. in 0tura,6,3,3,2.5,0.49,0,15.1,18.2,0.75,1.17,0,31.1,74,63.2,0.36,3.11,18.3,0.43,28.2,0.04,0.88,295,0.97,0.06,0,0.51,4.15,0.05,149,97.8,195,0,0,136,0,0.12,0.12,0.1,0.14,0,0
Mamão. verde. doce. em calda. dre0do,6,3,3,4,0,0,56.4,57.6,0.07,0.02,0.00,12.4,230,0,0.15,1.23,3.23,0.10,4.54,0.04,0,8.67,0.32,0,0.00,0,4.74,0,41.9,62.2,24.7,0.00,0,0,0.00,0.02,0,0,0,0.00,0.00
Manga. Haden. polpa. in 0tura,7,3,3,2.5,1.33,0,33.2,36.7,0.85,0.23,0,19.2,148,101,0.21,3.48,20.5,0.56,17.5,0.38,0,325,0.9,0.13,0,1.98,1.21,0.04,181,229,458,0,0.11,38.3,0,0.15,0.22,0,0.22,0,0
Manga. Palmer. polpa. in 0tura,7,3,3,2.5,0.9,0,39,42.6,0.73,0.19,0,25.6,170,115,0.2,3.59,30.8,0.38,19.2,0.1,0,344,0.9,0.07,0,1.98,4.1,0.19,175,872,1744,0,0,144,0,0.19,0.17,0,0.17,0,0
Manga. polpa. in 0tura,7,3,3,2.5,1.61,0,30.4,35.1,0.77,0.18,0,20.1,141,98.4,0.26,4.71,27.2,0.69,19.2,0.33,0,375,1.16,0.09,0,1.32,2.02,0.08,182,316,633,0,0.06,66.6,0,0.21,0.22,0,0.22,0,0
Mangaba. c/ casca. in 0tura,9,6,6,2,0.54,0.00,7.71,11.6,0.56,0.08,0.00,6.00,61,28.0,1.12,3.90,12.0,2.05,11.0,0.83,0.31,176,0.88,0.48,0.00,0,7.00,0.04,84.9,4.00,7.00,0.00,0.03,130,0,0.54,0,0,0,0.00,0.00
Maniçoba. c/ sal,5,8,7,2,0,0,1.5,4.06,2.36,0.19,51.1,79,151,0,3.84,2.58,65.6,10.4,28.3,0.71,3.08,176,11.9,0.08,0.54,0,701,0.05,93.7,132,265,0,0.06,0,0,2.42,4.39,2,3.46,0.05,0
Manjar. coco. em pó. preparado (conforme a embalagem),9,6,6,5,0.07,0,13.8,13.9,0.99,0.02,11.2,98.3,94,0.19,0.12,0.08,77.8,3.14,10.2,0,1.32,133,2.66,0.21,0,4.37,122,0.03,79.3,44.4,45.1,0.32,0,0.03,1.08,0.38,0.85,0.11,2.03,0,0.00
Manjericão. in 0tura,9,10,10,3,0.49,0.00,0.34,3.64,1.02,0.16,0.00,210,19,60.3,0.97,3.31,39.9,0.39,57.8,0.17,0.90,251,1.99,0.21,0.00,0.27,3.89,0.06,93.0,517,1035,0.00,0.06,2.34,0.00,0.46,0,0.27,0.13,0.00,0.00
Manteiga. c/ sal,8,5,5,3,2.36,0.00,0.00,0.00,1.19,0,200,9.42,743,3.01,0.15,0.00,27.7,82.3,1.47,0,0,14.8,0.52,0,0,1.01,578,0,15.5,936,950,0.17,0,0,0.00,0,20.4,1.20,49.2,3.30,0.00
Maracujá. amarelo. polpa. in 0tura,8,6,6,5,0.03,0,5.01,5.52,0.36,0.08,0,2.41,33,4.14,0.25,0.51,22.8,0.95,10,0.05,0,152,0.9,0.02,0,0.36,0.71,0,37.3,24.3,48.6,0,0.02,8.93,0,0.18,0.12,0.42,0.1,0,0
Margari0. c/ óleo hidroge0do (65% lipídios). c/ sal,6,4,4,0.2,5.37,0.00,0.00,0.00,1.94,0,0,5.56,607,0.92,0.09,0.00,7.26,67.4,1.13,0,0,21.4,0,0,0,0,894,0,32.2,246,246,0.00,0.00,0,0.00,0,18.2,21.4,14.9,9.99,0.00
Margari0. c/ óleo interesterificado (65% lipídios). c/ sal,6,4,4,0.2,12.8,0.00,0.00,0.00,0.10,0,0.00,4.96,604,0.00,0.08,0,7.16,67.1,1.15,0,0,4.73,0,0,0,0,33.2,0,33.4,245,245,0.00,0,0,0,0,14.4,26.5,20.9,0.32,0.00
Margari0. c/ sal,6,4,4,0.2,5.00,0.00,0.00,0.00,2.50,0,0,3.86,540,0.85,0.06,0.00,5.28,60.0,0.89,0,0,9.32,0,0,0,0,711,0,37.5,343,0,0.00,0.00,0,0.00,0,13.4,21.2,16.2,2.99,0.00
Maxixe. c/ casca. cozido. dre0do. c/ óleo de soja. c/ sal,5,8,8,3,0.36,0.00,1.11,4.18,1.00,0.03,0.00,40.9,41,3.92,0.50,3.06,31.4,2.48,6.38,0.09,0,91.7,1.94,0.02,0.32,0.10,147,0.05,90.4,3.02,6.04,0.00,0.04,8.75,0.00,0.14,0.56,1.46,0.40,0.02,0.00
Mexerica. 'Murcote'. in 0tura,9,6,6,0.4,0.12,0,15.9,20.1,0.63,0.08,0,44.6,78,23.8,0.09,4.15,26.3,0.18,16.6,0.07,0,214,1.19,0.1,0,0.15,1.58,0.11,112,19.9,39.8,0,0.07,29.4,0,0.14,0.04,0.04,0.02,0,0
Mexerica. 'Rio'. in 0tura,9,6,6,0.4,0.11,0,8.92,12.6,0.43,0.1,0,23.2,48,15.2,0.12,3.69,18.5,0.17,11.1,0.06,0,168,0.88,0,0,0.09,2.46,0.04,120,19,38.1,0,0,151,0,0.21,0.03,0.04,0.02,0,0
Mexilhão com molho branco (farinha de 0igo. manteiga e leite). c/ queijo parmesão. c/ sal,4,8,8,12,0.60,0.00,5.28,5.76,2.14,1.48,16.7,106,128,29.2,21.4,0.49,150,6.79,17.7,1.22,1.38,172,11.2,0.22,0.45,3.20,398,0.10,74.1,50.0,34.5,6.18,0.06,6.76,0.04,1.94,1.65,1.69,2.69,0.08,0.00
Mexilhão ensopado com legumes. c/ sal,9,9,9,12,0.55,0.00,2.02,3.31,1.56,1.21,7.95,22.3,58,31.4,17.2,1.28,77.6,2.00,13.9,0.91,1.02,170,7.32,0.11,0.45,0.82,290,0.08,85.8,61.5,92.3,4.78,0.05,17.3,0.01,1.37,0.43,0.95,0.36,0.02,0.00
Milho verde e ervilha. grão. enlatado. dre0do,5,8,8,1,0.17,0,15.7,20.4,1.24,0.11,0.00,11.7,100,50.1,1.12,4.75,71.8,1.22,21.1,0.20,2.17,166,4.28,0.05,0,0.90,342,0.05,72.9,15.4,30.7,0.00,0,4.17,0.00,0.84,0.39,0.49,0.31,0,0.00
Mingau. farinha de cereais. c/ leite integral,8,4,7,3,2.56,0,23.6,25.3,1.34,0.07,9.00,231,147,59.1,3.46,1.71,192,2.92,26.6,0.62,5.02,163,5.66,0.49,0,10.7,116,0.31,64.8,0.00,0.00,0.84,0.32,11.0,1.25,0.83,0.79,0.36,1.60,0.00,0.00
Mirtilo. in 0tura,9,7,6,4,0.29,0,6.04,7.24,0.12,0.03,0,3,29,3,0.14,1.2,6,0.17,3,0.17,0.21,38.5,0.37,0.02,0,0.05,0.5,0.02,42.1,1.5,0,0,0.03,4.85,0,0.08,0.02,0.07,0.01,0,0
Missoshiro,9,8,8,15,0.09,0,2.44,3.48,1.82,0.06,0,27.2,38,7.45,0.6,1.04,45,1.52,13.7,0.09,0.19,88.8,2.88,0.02,0,0.08,378,0.02,110,44.6,85.9,0.01,0.05,0.76,0,0.45,0.24,0.69,0.21,0,0
Mix de castanhas e sementes. c/ sal,8,6,7,7,0.77,0,3.27,7.26,0.89,0.4,0,76,178,22.3,1.21,3.98,170,14.9,86.9,0.59,0.8,194,5.88,0,0,259,30.8,0.1,1.13,0.02,0.05,0,0.08,0,0,1.27,6.71,5.5,2.72,0,0
Mocotó bovino. c/ feijão branco. tomate. c/ caldo de mocotó. c/ óleo. cebola e alho. c/ sal,4,9,9,15,1.14,0,16.7,21.7,1.31,0.61,23.5,71.2,181,62.1,2.97,4.99,112,6.23,49,0.06,0.38,481,12.2,0.03,0.9,5.21,405,0.09,158,24.9,49.7,0.09,0.12,3.78,0,2.15,2.35,1.9,1.39,0.01,0
Molusco. lula. cozido. frito. c/ sal,4,9,9,12,0,0,6.73,6.73,1.62,1.68,207,31.1,137,15.9,0.81,0,199,5.96,30.3,0.06,2.07,222,14.3,0.04,0.36,41.3,387,0.04,51.4,0,0,0.98,0.05,3.34,0,1.39,2.19,1.7,1.5,0,0
Molusco. os0a. cozido. s/ óleo. c/ sal,4,7,7,12,0.15,0,3.48,3.48,2.34,9.47,58.2,4.78,106,12.4,31.5,0,218,2.57,22.5,2.93,5.61,317,17.3,0.23,0.5,0,260,0.18,84.3,0,0,4.91,0.43,0,0,86,0.94,0.33,1.09,0,0
Molusco. polvo. cozido. s/ óleo. c/ sal,4,7,7,12,1.31,0,4.82,4.82,4,0.81,105,116,170,26.3,10.4,0,305,2.28,65.7,0.05,4.14,689,32.7,0.08,0.5,98.1,704,0.06,66.3,0,0,39.4,0.71,8.76,0,3.68,0.36,0.52,0.5,0,0
Morango. in 0tura,10,6,7,0.4,0.47,0,5.84,7.85,0.54,0.06,0,18.5,36,26.2,0.34,2,34.6,0.48,13.2,0.23,0,122,0.98,0.04,0,0.43,13.2,0,110,5.35,10.7,0,0.04,83.8,0,0.11,0.07,0.36,0.02,0,0
Mortadela,9,5,5,1,0,0,3.22,3.22,0.72,0.02,12.7,10.3,53,1.25,0.29,0,49.2,3.33,4.01,0.03,0.6,49,2.74,0.01,0,0,270,0.03,10,0,0,0.38,0,0.17,0.11,0.44,1.25,0.72,0.94,0,0
Mostarda. molho,7,8,8,0.3,0.36,0,1.83,5.83,3.37,0.07,0.00,63.0,60,7.00,1.61,4.00,108,3.34,48.0,0.42,0.57,152,3.74,0.07,0,33.5,1104,0.18,83.7,1.17,2.33,0.00,0.07,0.30,0.00,0.64,2.18,0.77,0.21,0.01,0.00
0bo. s/ casca. cozido. dre0do. s/ óleo. c/ sal,4,6,6,2,0.02,0.00,2.58,4.45,0.84,0.04,0.00,38.9,18,5.47,0.16,1.87,14.4,0.06,8.45,3.83,0,121,0.91,0,0.32,0.46,129,0.05,93.7,0.00,0.00,0.00,0.02,3.68,0.00,0.14,0.00,0.03,0.01,0.00,0.00
0bo. s/ casca. refogado (c/ óleo. cebola e alho). c/ sal,4,7,7,2,0.18,0.00,3.32,5.42,0.91,0.05,0.00,43.8,33,8.74,0.25,2.10,20.4,1.26,15.6,4.48,0,298,1.11,0,0.32,0.57,130,0.07,91.3,0.00,0.00,0.00,0.04,8.66,0.00,0.21,0.28,0.75,0.19,0.01,0.00
Nori. alga. seca,9,9,6,5,0.42,0,0.27,3.91,1.7,0.04,3,8.6,22,150,4.83,3.64,53,0.07,34,0.16,0.54,450,3.48,0.21,0,0,210,0.06,0.84,230,0,3.99,0.04,0.3,0,0.23,0,0.03,0.01,0,0
Omelete. c/ ovo de galinha. c/ queijo muçarela. c/ sal,10,5,5,1,1,0,2.15,2.19,1.85,0.08,312,164,215,28.8,1.58,0.03,208,17,12.9,0,0.58,140,13.4,0.49,0.47,15.5,405,0.05,65.6,156,164,1.05,0.01,0.42,1.65,1.72,5.27,4.41,5.3,0.16,0
Ovo. codor0. inteiro. cozido. c/ sal,10,7,7,0.7,1.08,0.00,1.16,1.16,1.07,0.04,496,57.3,157,54.3,3.35,0.00,279,11.1,10.5,0.00,0.77,78.7,13.1,0.10,0.45,0.10,128,0.09,73.6,0.00,0.00,1.30,0,0.00,1.40,1.72,10.6,2.36,7.78,0.10,0.00
Ovo. galinha. clara. cozida/10 min.. c/ sal,5,4,4,0.7,0,0,0.17,0.17,0.34,0.01,0,1.89,16,0.99,0.02,0,4.61,0.03,3.29,0,0,43.6,4.02,0.02,0.14,1.55,110,0,25.4,0,0,0.02,0,0,0,0,0,0,0,0,0
Ovo. galinha. gema. cozida/10 min.. c/ sal,6,5,5,0.7,2.1,0,0.23,0.23,0.33,0,189,17.1,51,21.8,0.44,0,57.6,4.59,1.4,0.01,0,13.1,2.37,0.03,0.07,5.08,34.9,0.03,7.47,0,0,0.29,0,0,0.93,0.43,1.81,0.6,1.37,0.01,0
Ovo. galinha. inteiro. cozido. c/ sal,9,9,9,0.7,0.42,0,0.69,0.69,0.63,0.02,181,21.6,62,18.4,0.66,0,80.5,4.33,4.92,0.01,0,60.7,5.17,0.13,0.24,7.47,157,0.03,39.2,0,0,0.46,0,0,0.9,0.54,1.74,0.5,1.33,0.01,0
Ovo. galinha. inteiro. frito (c/ óleo de soja). c/ sal,10,10,10,1,0.82,0,0.59,0.59,0.78,0.02,256,36.3,116,31.8,1.04,0,210,9.25,8.09,0.02,0,91.6,7.77,0.16,0.24,19.7,176,0.03,31.6,48.8,50.9,0.61,0,0,1.37,0.73,2.85,2.45,2.05,0.01,0
Ovo. galinha. mexido. c/ margari0. c/ sal,10,9,9,0.8,1.56,0,2.25,2.25,1.41,0.06,381,43,166,34,1.9,0,166,12.2,11.3,0,0.72,151,11.9,0.58,0.47,15.8,358,0.07,72.2,177,177,0.87,0,0,2.01,1.41,4.43,2.34,3.62,0.01,0
Pão francês. branco. c/ farinha de 0igo refi0da. de padaria (médias de diferentes amos0as),10,6,7,1,0.09,0,29.5,30.8,0.87,0.07,0,7.09,149,74.8,2.17,1.3,49.9,1.06,12.4,0.24,1.23,74.9,4.91,0.35,0,3.65,340,0.2,12.3,1.02,1.02,0,0.32,0,0,0.41,0.31,0.24,0.34,0.13,0
Pão. branco. c/ farinha de 0igo refi0da. forma. 0adicio0l (média de diferentes marcas),9,5,6,0.5,0.04,0,12.2,12.9,0.49,0.03,0,25,65,33.2,0.86,0.67,36,0.6,13.2,0.35,0,62,2.38,0.01,0,1.38,215,0.02,8.65,0,0,0,0.04,0,0,0.35,0.16,0.2,0.14,0.05,0
Pão. de queijo. indus0ializado. assado,10,6,6,1,0,0,8.75,8.9,0.68,0,16.1,26.6,95,0,0.07,0.15,24.4,5.85,2.14,0.01,0,24.2,1.79,0.03,0,0,201,0.01,7.77,15.9,15.9,0,0.01,0,0,0.16,1.26,1.72,1.42,0.31,0
Pêssego. enlatado. em calda. dre0do,7,6,5,3,0.6,0,7.93,8.44,0.11,0.02,0,2.05,34,4.14,0.3,0.51,4.41,0,2.02,0.01,0,47.4,0.35,0,0,0,1.6,0,41.1,10.9,21.8,0,0,0,0,0.05,0,0,0,0,0
Pêssego. in 0tura,10,6,7,1.5,0.32,0,4.91,6.05,0.3,0.01,0,1.75,25,2.51,0.15,1.13,10.1,0.11,4.18,0.04,0,81,0.53,0,0,0.06,0,0.03,53,14.1,28.2,0,0,2.13,0,0.05,0.03,0.04,0.01,0,0
Palmito. conversa. dre0do (média de variedades 0 Pupunha e Juçara),7,9,9,5,0,0.00,1.57,4.69,2.20,0.15,0.00,45.4,25,38.5,0.24,3.12,47.6,0.34,29.6,5.48,0,225,2.44,0.02,0,0.60,538,0.05,90.3,0.00,0.00,0,0,5.32,0.00,0.52,0,0.09,0.09,0,0
Pasta de amendoim. integral,9,3,3,4,8.19,0.00,15.1,21.6,2.15,1.13,0,0,615,253,3.27,6.50,425,48.4,178,1.42,10.6,606,26.5,0.03,0.00,0,0,0.11,1.30,0,0,0.00,0.80,0,0,3.05,18.0,16.9,9.09,0,0.00
Pasta de atum. caseira. c/ sal,8,4,4,2.5,1.31,0.00,6.47,7.00,2.05,0.04,36.8,16.0,183,12.8,0.71,0.52,97.0,12.7,16.2,0.12,1.34,195,10.6,0.04,0.33,21.4,599,0.08,67.7,20.7,38.6,0.79,0.06,4.23,2.12,0.37,2.66,6.43,1.79,0.07,0.00
Pastel. frito. caseiro (média de diferentes recheios),9,5,5,3,1.36,0,22.5,23,1.5,0.05,10.2,34.7,206,35.1,0.96,0.48,53.5,10.7,7.3,0.1,0.46,69.8,4.7,0.02,0,2.75,465,0.04,10.1,19.1,19.7,0.87,0,0,0.09,0.48,2.85,3.92,2.9,0.24,0
Peixe. água doce. Arraia (Raia). filé. grelhado. s/ óleo. c/ sal,5,10,10,6,0,0.45,0.41,0.41,2.71,0.06,10.4,190,94,0,0.38,0.00,234,0.65,25.8,0.09,2.47,265,21.6,0.06,0.00,0,222,0.03,74.6,0.55,0.55,0,0.09,0,0.66,1.08,0.22,0.07,0.27,0.00,0.00
Peixe. água doce. filé. grelhado/assado. s/ óleo. c/ sal (média de 7 espécies),5,10,10,5,0.71,0,0,0,1.99,0.06,90.7,134,140,14.1,0.41,0,248,5.26,30.4,0.1,3.49,329,23.2,0.04,0.45,36.9,231,0.01,70.1,1.89,2.19,4,0.03,0.6,1.67,0.9,1.72,0.54,2.18,0.04,0
Peixe. água doce. Tilápia. filé s/ pele. grelhado. c/ óleo de soja. c/ sal,5,10,10,4.5,0.44,0.45,0,0,1.26,0.08,49,9.44,113,22.4,0.53,0,158,4.67,25.2,0.04,3.64,281,17.9,0.06,0,39,228,0.04,76.2,0,0,1.47,0.15,0,3.04,0.31,1.19,2.15,0.53,0.02,0
Peixe. água salgada. atum. assado/grelhado. s/ óleo. c/ sal,5,10,10,8,0.24,0,0,0,2.21,0.11,64.3,9.92,148,11.8,1.46,0,307,1.17,39,0,7.19,351,34.5,0.05,0.45,41.5,214,0,63.3,24.6,24.6,9.64,0,0,1.23,0.54,0.27,0,0.67,0,0
Peixe. água salgada. salmão. filé. s/ pele. assado/grelhado. s/ óleo. c/ sal,5,10,10,15,3.06,0,0,0,2.06,0.04,72.5,15.1,234,24.7,0.37,0,350,14.5,37.7,0.01,6.28,515,26,0.03,0.45,28.5,275,0.23,57.9,0,0,3.45,0,0,9.49,0.5,4.13,4.96,3.56,0.02,0
Peixe. água salgada. sardinha. assado/grelhado. s/ óleo. c/ sal,5,10,10,3,0.53,0,0.4,0.4,4.78,0.14,108,435,156,7.87,1.25,0,575,2.97,51.1,0.24,5.81,571,32,0,0.45,81.2,253,0.06,59.8,0,0,7.92,0,0,1.12,1.81,0.5,0.3,1.69,0,0
Peixe. água salgado. linguado. assado/grelhado. s/ óleo. c/ sal,5,10,10,10,0.77,0,0.1,0.1,0.54,0.03,62,9,109,14,0.2,0,297,1.68,29,0,7.79,549,23.4,0.04,0,57.4,408,0.06,74.3,23,23,1.25,0.62,0.5,5.9,0.46,0.59,0.37,0.37,0,0
Pepino. c/ casca. cru,7,9,8,1,0.03,0.00,1.20,2.24,0.33,0.04,0.00,9.62,10,4.91,0.23,1.04,12.3,0.09,9.34,0.08,0,153,0.70,0.03,0.00,0.10,0,0,96.7,1.79,3.58,0.00,0,4.99,0.00,0.13,0,0.03,0.03,0.00,0.00
Pera. c/ casca. in 0tura,9,7,7,2,0.22,0,12.1,15.4,0.3,0.08,0,9.34,59,7.17,0.23,3.3,12.9,0.25,6.55,0.04,0,119,0.44,0,0,0.1,0.54,0.03,93.6,0,0,0,0,2.86,0,0.09,0,0.11,0.11,0,0
Peru. peito. defumado,9,6,6,3,0,0,0.59,0.59,0.33,0.02,13.4,1.11,24,1.2,0.19,0,78.8,0.76,4.82,0.09,0,63.7,3.92,0.05,0,0,191,0.01,14.4,0,0,0.05,0,0,0,0.31,0.17,0.23,0.22,0,0
Picles. pepino. azedo,8,8,8,2.5,0.36,0,0.42,0.9,1.25,0.03,0,0,3,0.4,0.16,0.48,5.6,0.08,1.6,0,0,9.2,0.13,0.04,0,0,483,0,37.6,4,0,0,0,0,0,0.01,0,0.03,0.02,0,0
Pimentão. vários tipos. cru (média de diferentes amos0as),7,9,9,2,1.13,0.00,3.57,5.25,0.46,0.05,0.00,7.99,24,26.5,0.39,1.67,19.6,0.27,10.5,0.10,0,202,1.10,0.03,0.00,0.20,0,0.03,92.9,19.9,39.8,0.00,0.03,153,0.00,0.17,0.01,0.08,0.05,0.00,0.00
Pinha. in 0tura,8,7,7,5,0,0,10.5,12.3,0.38,0.06,0,11.5,50,0,0.12,1.85,18.9,0.18,16.8,0.08,0,155,0.82,0.02,0,0,0.74,0.07,41.3,0,0,0,0.05,19.7,0,0.13,0,0.06,0.06,0,0
Pitaia. in 0tura,7,6,6,6,0,0,13.7,15.8,0.72,0,0,12,66,0,1.56,2.16,31.2,0.48,0,0,0.36,0,1.68,0.05,0,0,0,0.05,101,0,0,0,0,9.6,0,0,0,0,0,0,0
Pitanga. in 0tura,9,4,4,5,0,0.00,6.58,9.25,0.32,0.07,0.00,15.8,37,0,0.35,2.67,16.0,0.20,11.1,0.26,0,201,0.85,0.10,0.00,0,1.43,0.03,89.4,68.4,136,0.00,0,24.9,0.00,0.20,0,0,0,0.00,0.00
Pizza. 4 queijos. caseira,8,10,10,10,0.7,0,32.6,33.8,2.23,0.08,29.6,180,276,87.4,2.47,1.24,187,11.2,19.7,0.2,0.61,135,10.7,0.1,0,6.08,548,0.11,32.1,44.4,47.1,0.46,0.02,1.65,0.15,1.24,3.23,1.25,5.19,0.15,0
Pizza. muçarela. caseira. assada,7,8,8,8,0.7,0,28.5,29.8,2.3,0.09,28.1,228,254,74,2.18,1.33,183,10.4,20.8,0.19,0.46,140,11,0.09,0,7.83,492,0.11,36.5,53.3,66.5,0.71,0.01,3.48,0.15,1.38,2.89,1.39,4.68,0.26,0
Pizza. 0polita0. caseira,9,10,10,10,0.97,0,33.4,34.8,2.34,0.1,27.3,187,271,85.8,2.91,1.4,180,10.2,22,0.23,0.96,146,10.7,0.08,0,9.62,552,0.14,32,39.3,45.9,0.96,0.01,1.65,0.72,1.24,3,2.03,3.87,0.2,0
Queijo. cheddar,8,7,7,9,0.21,0,0.93,0.93,1.11,0.01,29.7,213,121,8.1,0.04,0,136,9.99,8.1,0.01,0.02,22.8,6.86,0.01,0,8.55,195,0.01,11.1,99,372,0.33,0.02,0,0.18,1.09,2.77,0.43,5.66,0.28,0
Queijo. coalho,9,9,9,7,0.33,0,0.97,0.97,2.03,0.04,40.1,365,167,31.6,0.12,0,211,12.9,14.2,0.01,0,63.1,11.9,0.17,0,0,263,0.02,22.2,58.5,58.5,0.17,0,0.26,0.13,1.41,2.94,0.18,6.95,0.52,0
Queijo. gorgonzola,8,7,7,5,0,0,0.3,0.3,0.6,0,21,120,97,0,0.09,0,97.8,8.13,0.84,0,0.27,33.3,5.73,0.05,0,2.1,180,0,15.2,0,57,0.39,0.02,0,0.07,0.84,2.13,0.22,3.93,0,0
Queijo. gouda,8,5,5,9,0.07,0,0.67,0.67,1.18,0.01,34.2,210,106,6.3,0.07,0,163,8.23,8.7,0,0.02,36.3,7.48,0.1,0,4.35,245,0.01,12.4,49.5,0,0.46,0.02,0,0.15,1.17,2.32,0.2,5.28,0,0
Queijo. leite de vaca e búfala. muçarela,9,9,9,6,0.05,0,1,1,0.67,0.02,22.3,73.8,93,2.12,0.08,0,130,7.05,6.54,0.01,0,17.2,6.43,0.06,0,4.13,161,0,14.8,31.4,33.7,0.69,0,0,0.11,0.98,1.67,0.14,3.99,0.24,0
Queijo. mi0s. frescal,8,6,6,7,0.09,0,0.91,0.91,0.89,0,18.6,183,72,1.75,0.28,0,37,5.58,4.44,0,0,31.5,4.76,0.08,0,2.97,9.37,0,17.9,44.4,44.4,0.42,0,0,0.63,0.45,1.74,0.12,3.42,0.2,0
Queijo. muçarela (média de diferentes amos0as),7,7,7,5,0.04,0,0.39,0.39,0.74,0.01,15.2,154,64,1.5,0.05,0,92.6,4.83,4.57,0.01,0,13.7,4.77,0.04,0,3.65,101,0,9.27,21.5,22.5,0.49,0,0,0.09,0.72,1.14,0.1,2.73,0.16,0
Queijo. parmesão. ralado,9,9,9,6,0.31,0.00,4.83,4.83,6.48,0.17,42.0,1050,478,7.91,1.70,2.52,756,36.7,33.9,0.05,0,97.8,32.1,0.45,0,0,1480,0,19.9,76.6,84.0,1.36,0.24,0,0.71,4.43,9.52,0.44,21.2,1.28,0.00
